Restaurant_Name,Rating,Cuisine_Type,Cost_for_One,Delivery_Time (min),OFF_offer,Url_link
Royal Biryani Kitchen,3.4,"Biryani, North Indian, Mughlai, Fast Food, Beverages, Sichuan",¹ 150.00,50,60% OFF,https://www.zomato.com/bangalore/royal-biryani-kitchen-btm-bangalore/order
Meat And Eat,3.7,"Burger, Sandwich, Fast Food, Wraps, Biryani, Beverages, Desserts",¹ 150.00,NA,   125 OFF,https://www.zomato.com/bangalore/meat-and-eat-domlur/order
Gopaljee Cafe,3.9,"North Indian, Street Food, Beverages",¹ 150.00,46,40% OFF,https://www.zomato.com/bangalore/gopaljee-cafe-koramangala-7th-block-bangalore/order
Aattutheeram Kerala Restaurant,3.8,"Kerala, Biryani, Chinese, South Indian, Seafood, Beverages",¹ 150.00,51,20% OFF,https://www.zomato.com/bangalore/aattutheeram-kerala-restaurant-koramangala-5th-block-bangalore/order
Aromas Of Biryani,4,"Biryani, North Indian, South Indian, Hyderabadi",¹ 150.00,51,NA,https://www.zomato.com/bangalore/aromas-of-biryani-1-jayanagar-bangalore/order
Starbucks Coffee,4.3,"Cafe, Coffee, Desserts, Beverages",¹ 150.00,17,   100 OFF,https://www.zomato.com/bangalore/starbucks-coffee-lavelle-road-bangalore/order
Muthashy's,4.3,"Kerala, South Indian, Chinese, Sichuan",¹ 150.00,52,NA,https://www.zomato.com/bangalore/muthashys-btm-bangalore/order
Anjappar,3.9,"South Indian, Chettinad, North Indian, Biryani, Chinese, Sichuan, Desserts, Beverages",¹ 150.00,39,NA,https://www.zomato.com/bangalore/anjappar-brigade-road-bangalore/order
Chai Point,4.3,"Tea, Coffee, Beverages, Shake, Fast Food, Rolls, Desserts, Cafe",¹ 150.00,31,40% OFF,https://www.zomato.com/bangalore/chai-point-church-street-bangalore/order
Biryani Trip - Destination Hyderabad,4.1,"Biryani, South Indian, Mughlai, Andhra, Desserts, Hyderabadi",¹ 150.00,35,20% OFF,https://www.zomato.com/bangalore/biryani-trip-destination-hyderabad-seshadripuram-bangalore/order
Rajdhani,4.1,"Gujarati, North Indian, Rajasthani",¹ 150.00,70,Flat 15% OFF,https://www.zomato.com/bangalore/rajdhani-1-malleshwaram-bangalore/order
Kolkata Famous Kati Rolls,3.7,Rolls,¹ 150.00,46,NA,https://www.zomato.com/bangalore/kolkata-famous-kati-rolls-rajajinagar-bangalore/order
New Shanthi Sagar,4,"South Indian, North Indian, Chinese, Sandwich, Biryani, Ice Cream, Shake, Beverages",¹ 150.00,58,NA,https://www.zomato.com/bangalore/new-shanthi-sagar-basavanagudi/order
Chulha Chauki Da Dhaba,4.3,"North Indian, Chinese, Kebab, Mughlai, Biryani, Beverages",¹ 150.00,65,NA,https://www.zomato.com/bangalore/chulha-chauki-da-dhaba-indiranagar-bangalore/order
Chaat Street - Desi Chaat & Chai,3.8,"Street Food, Fast Food, North Indian, Beverages, Tea",¹ 150.00,NA,40% OFF,https://www.zomato.com/bangalore/chaat-street-desi-chaat-chai-ulsoor-bangalore/order
Sreeraj Lassi Bar - Since 1973,4.1,"Ice Cream, Beverages, Desserts, , Juices",¹ 150.00,28,NA,https://www.zomato.com/bangalore/sreeraj-lassi-bar-since-1973-shanti-nagar-bangalore/order
Sri Vishnu Park,4,"South Indian, North Indian, Chinese, Biryani, Sandwich, Street Food, Desserts, Shake",¹ 150.00,60,NA,https://www.zomato.com/bangalore/sri-vishnu-park-btm/order
Third Wave Coffee,4,"Cafe, Coffee, Sandwich, Pizza, Fast Food, Tea, Beverages",¹ 150.00,28,10% OFF,https://www.zomato.com/bangalore/third-wave-coffee-lavelle-road-bangalore/order
WOW! China,3.5,"Chinese, Oriental, Asian, Sichuan, Seafood, Momos",¹ 150.00,37,40% OFF,https://www.zomato.com/bangalore/wow-china-church-street-bangalore/order
Hotel Kadamba Veg,4.1,"South Indian, North Indian, Chinese, Biryani, Mithai, Shake, Beverages",¹ 150.00,49,NA,https://www.zomato.com/bangalore/hotel-kadamba-veg-rajajinagar/order
Shree Mahalakshmi Sweets,4.2,"Mithai, Street Food",¹ 150.00,38,NA,https://www.zomato.com/bangalore/shree-mahalakshmi-sweets-2-basavanagudi-bangalore/order
Arogya Ahaara,4.3,South Indian,¹ 150.00,60,NA,https://www.zomato.com/bangalore/arogya-ahaara-jp-nagar-bangalore/order
Roti Ghar,4.3,"North Indian, Chinese, South Indian, Street Food, Fast Food, Desserts, Shake, Beverages",¹ 100.00,46,NA,https://www.zomato.com/bangalore/roti-ghar-basavanagudi/order
Madras Meal Company,4.3,"South Indian, Chettinad, Tamil",¹ 100.00,48,20% OFF,https://www.zomato.com/bangalore/madras-meal-company-1-frazer-town-bangalore/order
